2025-07-24T13:00:28.339149[I][tasks][Discover Miners]started
2025-07-24T13:00:28.507318[T][192.168.0.1][minerDiscoverer]no miner detected
2025-07-24T13:00:28.507411[T][exceptions]Miner not found
2025-07-24T13:00:30.525750[T][192.168.0.243][minerDiscoverer]no miner detected
2025-07-24T13:00:30.525798[T][exceptions]Miner not found
2025-07-24T13:00:30.979982[T][192.168.0.160][minerDiscoverer]no miner detected
2025-07-24T13:00:30.980355[T][exceptions]Miner not found
2025-07-24T13:00:31.055848[T][192.168.0.237][minerDiscoverer]no miner detected
2025-07-24T13:00:31.055896[T][exceptions]Miner not found
2025-07-24T13:00:31.677713[T][192.168.0.146][minerDiscoverer]no miner detected
2025-07-24T13:00:31.677756[T][exceptions]Miner not found
2025-07-24T13:00:49.383588[T][192.168.0.9][minerDiscoverer]no miner detected
2025-07-24T13:00:49.383793[T][exceptions]Miner not found
2025-07-24T13:00:49.426603[T][192.168.0.11][minerDiscoverer]no miner detected
2025-07-24T13:00:49.426642[T][exceptions]Miner not found
2025-07-24T13:00:49.426685[T][192.168.0.19][minerDiscoverer]no miner detected
2025-07-24T13:00:49.426690[T][exceptions]Miner not found
2025-07-24T13:00:49.441260[T][192.168.0.102][minerDiscoverer]no miner detected
2025-07-24T13:00:49.441297[T][exceptions]Miner not found
2025-07-24T13:00:49.441500[T][192.168.0.99][minerDiscoverer]no miner detected
2025-07-24T13:00:49.441509[T][exceptions]Miner not found
2025-07-24T13:00:49.442209[T][192.168.0.59][minerDiscoverer]no miner detected
2025-07-24T13:00:49.442227[T][exceptions]Miner not found
2025-07-24T13:00:49.442317[T][192.168.0.43][minerDiscoverer]no miner detected
2025-07-24T13:00:49.442330[T][exceptions]Miner not found
2025-07-24T13:00:49.442550[T][192.168.0.42][minerDiscoverer]no miner detected
2025-07-24T13:00:49.442561[T][exceptions]Miner not found
2025-07-24T13:00:49.443003[T][192.168.0.82][minerDiscoverer]no miner detected
2025-07-24T13:00:49.443026[T][exceptions]Miner not found
2025-07-24T13:00:49.443075[T][192.168.0.63][minerDiscoverer]no miner detected
2025-07-24T13:00:49.443090[T][exceptions]Miner not found
2025-07-24T13:00:49.443669[T][192.168.0.3][minerDiscoverer]no miner detected
2025-07-24T13:00:49.443683[T][exceptions]Miner not found
2025-07-24T13:00:49.443767[T][192.168.0.23][minerDiscoverer]no miner detected
2025-07-24T13:00:49.443779[T][exceptions]Miner not found
2025-07-24T13:00:49.444116[T][192.168.0.22][minerDiscoverer]no miner detected
2025-07-24T13:00:49.444141[T][exceptions]Miner not found
2025-07-24T13:00:49.444185[T][192.168.0.2][minerDiscoverer]no miner detected
2025-07-24T13:00:49.444198[T][exceptions]Miner not found
2025-07-24T13:00:49.445711[T][192.168.0.62][minerDiscoverer]no miner detected
2025-07-24T13:00:49.445725[T][exceptions]Miner not found
2025-07-24T13:00:49.446026[T][192.168.0.39][minerDiscoverer]no miner detected
2025-07-24T13:00:49.446037[T][exceptions]Miner not found
2025-07-24T13:00:49.446440[T][192.168.0.83][minerDiscoverer]no miner detected
2025-07-24T13:00:49.446451[T][exceptions]Miner not found
2025-07-24T13:00:49.446472[T][192.168.0.143][minerDiscoverer]no miner detected
2025-07-24T13:00:49.446476[T][exceptions]Miner not found
2025-07-24T13:00:49.446981[T][192.168.0.79][minerDiscoverer]no miner detected
2025-07-24T13:00:49.446992[T][exceptions]Miner not found
2025-07-24T13:00:49.457413[T][192.168.0.123][minerDiscoverer]no miner detected
2025-07-24T13:00:49.457428[T][exceptions]Miner not found
2025-07-24T13:00:49.457609[T][192.168.0.122][minerDiscoverer]no miner detected
2025-07-24T13:00:49.457622[T][exceptions]Miner not found
2025-07-24T13:00:49.457795[T][192.168.0.163][minerDiscoverer]no miner detected
2025-07-24T13:00:49.457808[T][exceptions]Miner not found
2025-07-24T13:00:49.457836[T][192.168.0.103][minerDiscoverer]no miner detected
2025-07-24T13:00:49.457839[T][exceptions]Miner not found
2025-07-24T13:00:49.503557[T][192.168.0.54][minerDiscoverer]no miner detected
2025-07-24T13:00:49.503598[T][exceptions]Miner not found
